STM0001	thr operon leader peptide
STM2325	NADH-quinone oxidoreductase subunit E
STM2326	NADH-quinone oxidoreductase subunit C/D
STM2327	NADH dehydrogenase
STM2328	NADH-quinone oxidoreductase subunit A
STM2329	hypothetical protein
STM2330	transcriptional regulator LrhA
STM2331	aminotransferase
STM2332	5'-deoxynucleotidase
STM2333	SLC13 family permease
STM2334	putative phosphatase
STM2335	hypothetical protein
STM2336	hypothetical protein
STM2337	acetate kinase
STM2338	phosphate acetyltransferase
STM2339	hypothetical protein
STM2340	putative transketolase
STM2341	putative transketolase
STM2342	PTS ascorbate transporter subunit IIC
STM2343	PTS mannitol transporter subunit IIB
STM2344	PTS ascorbate transporter subunit IIA
STM2345	LacI family transcriptional regulator
STM2346	NUDIX hydrolase
STM2347	YfcE family phosphodiesterase
STM2348	glutathione S-transferase
STM2349	thiol:disulfide oxidoreductase
STM2350	TIGR01777 family protein
STM2351	histidine and lysine/arginine/ornithine transport protein
STM2352	amino acid ABC transporter permease
STM2353	amino acid ABC transporter permease
STM2354	histidine ABC transporter substrate-binding protein HisJ
STM2355	histidine ABC transporter substrate-binding protein HisJ
STM2356	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
STM2357	amino acid permease
STM2358	amino-acid racemase
STM2359	putative amino acid transporter
STM2360	putative diaminopimelate decarboxylase
STM2361	sigma-54-dependent Fis family transcriptional regulator
STM2362	amidophosphoribosyltransferase
STM2363	colicin V production protein
STM2364	cell division protein DedD
STM2365	bifunctional tetrahydrofolate synthase/dihydrofolate synthase
STM2366	acetyl-CoA carboxylase subunit beta
STM2367	hypothetical protein
STM2368	tRNA pseudouridine(38-40) synthase TruA
STM2369	putative aspartate-semialdehyde dehydrogenase
STM2370	4-phosphoerythronate dehydrogenase PdxB
STM2371	flagella biosynthesis regulator
STM2372	arabinose transporter
STM2373	hypothetical protein
STM2374	DNA-binding protein
STM2375	hypothetical protein
STM2376	hypothetical protein
STM2377	hypothetical protein
STM2378	beta-ketoacyl-[acyl-carrier-protein
STM2379	putative peptidase
STM2380	hypothetical protein
STM2381	elongation factor P hydroxylase
STM2382	hypothetical protein
STM2383	penicillin-insensitive murein endopeptidase
STM2384	chorismate synthase
STM2385	ribosomal protein L3 N(5)-glutamine methyltransferase
STM2386	hypothetical protein
STM2387	phosphohistidine phosphatase SixA
STM2388	multifunctional fatty acid oxidation complex subunit alpha
STM2389	3-ketoacyl-CoA thiolase
STM2390	hypothetical protein
STM2391	transport of long-chain fatty acids
STM2392	phospholipid-binding lipoprotein MlaA
STM2393	hypothetical protein
STM2395	hypothetical protein
STM2396	transcriptional regulator
STM2397	sensor histidine kinase
STM2398	protein for signal transmission
STM2399	MFS transporter
STM2400	hypothetical protein
STM2401	lipid A biosynthesis palmitoleoyl acyltransferase
STM2402	alanine transaminase
STM2403	glucokinase
STM2404	ion channel protein
STM2405	indolepyruvate decarboxylase
STM2406	L-glyceraldehyde 3-phosphate reductase
STM2407	hypothetical protein
STM2408	divalent metal cation transporter
STM2409	nucleoside permease
STM2410	hypothetical protein
STM2413	hypothetical protein
STM2414	hypothetical protein
STM2415	glutamate--tRNA ligase
STM2420	LysR family transcriptional regulator
STM2421	MFS transporter
STM2422	purine-nucleoside phosphorylase
STM2423	hypothetical protein
STM2424	putative LysR family transcriptional regulator
STM2425	hypothetical protein
STM2426	putative cytoplasmic protein
STM2427	DNA ligase (NAD(+)) LigA
STM2428	cell division protein ZipA
STM2429	sulfate transporter CysZ
STM2430	cysteine synthase A
STM2431	HPr family phosphocarrier
STM2432	phosphoenolpyruvate--protein phosphotransferase
STM2433	PTS glucose transporter subunit IIA
STM2434	hypothetical protein
STM2435	bifunctional pyridoxal kinase/hydroxymethylpyrimidine kinase
STM2436	transcriptional regulator PtsJ
STM2437	putative GMP synthase
STM2438	putative periplasmic protein
STM2439	hypothetical protein
STM2440	cysteine synthase B
STM2441	sulfate ABC transporter ATP-binding protein
STM2442	sulfate ABC transporter permease subunit CysW
STM2443	sulfate ABC transporter permease subunit CysT
STM2444	thiosulfate transporter subunit
STM2445	NAD(P)-dependent oxidoreductase
STM2446	peroxidase
STM2447	RpoE-regulated lipoprotein
STM2448	hypothetical protein
STM2449	putative acetyltransferase
STM2450	N-acetylmuramoyl-l-alanine amidase I
STM2451	coproporphyrinogen III oxidase
STM2452	hypothetical protein
STM2453	DUF1963 domain-containing protein
STM2454	ethanolamine utilization protein EutR
STM2455	ethanolamine utilization protein EutK
STM2456	microcompartment protein EutL
STM2457	ethanolamine ammonia-lyase small subunit
STM2458	ethanolamine ammonia-lyase large subunit
STM2459	ethanolamine utilization protein EutA
STM2460	ethanolamine utilization protein EutH
STM2461	alcohol dehydrogenase EutG
STM2462	ethanolamine utilization protein EutJ
STM2463	aldehyde dehydrogenase EutE
STM2464	putative detox protein in ethanolamine utilization
STM2465	ethanolamine utilization protein EutM
STM2466	phosphate acetyltransferase
STM2467	cobalamin adenosyltransferase
STM2468	ethanolamine utilization protein EutQ
STM2469	ethanolamine utilization protein EutP
STM2470	ethanolamine utilization protein EutS
STM2471	IS200 family transposase
STM2472	NADP-dependent malic enzyme
STM2473	transaldolase
STM2474	transketolase
STM2475	hypothetical protein
STM2476	hypothetical protein
STM2477	GDP-mannose pyrophosphatase NudK
STM2478	penicillin-binding protein PBP4B
STM2479	oxidoreductase FeS-binding subunit
STM2480	two-component system sensor histidine kinase NarQ
STM2481	aminoglycoside/multidrug transporter subunit AcrD
STM2482	Spx/MgsR family transcriptional regulator
STM2483	succinyl-diaminopimelate desuccinylase
STM2484	hypothetical protein
STM2485	tRNA cytosine(34) acetyltransferase TmcA
STM2486	hypothetical protein
STM2487	phosphoribosylaminoimidazolesuccinocarboxamide synthase
STM2488	outer membrane protein assembly factor BamC
STM2489	4-hydroxy-tetrahydrodipicolinate synthase
STM2490	transcriptional repressor of gcv operon
STM2491	thioredoxin-dependent thiol peroxidase
STM2492	putative glycerate kinase
STM2493	AI-2E family transporter
STM2494	hypothetical protein
STM2495	putative arsenate reductase
STM2496	DnaA regulatory inactivator Hda
STM2497	uracil permease
STM2498	uracil phosphoribosyltransferase
STM2499	phosphoribosylformylglycinamidine cyclo-ligase
STM2500	phosphoribosylglycinamide formyltransferase
STM2501	RNA degradosome polyphosphate kinase
STM2502	exopolyphosphatase
STM2503	sensor domain-containing phosphodiesterase
STM2504	hypothetical protein
STM2505	putative inner membrane protein
STM2506	DUF2633 domain-containing protein
STM2507	putative inner membrane protein
STM2508	putative cytoplasmic protein
STM2509	hypothetical protein
STM2510	glutamine-hydrolyzing GMP synthase
STM2511	IMP dehydrogenase
STM2512	exodeoxyribonuclease VII large subunit
STM2513	C-terminal region of AIDA-like protein
STM2514	hypothetical protein
STM2515	hypothetical protein
STM2516	hypothetical protein
STM2517	intimin-like inverse autotransporter protein SinH
STM2518	hypothetical protein
STM2519	ribosome biogenesis GTPase Der
STM2520	outer membrane protein assembly factor BamB
STM2521	hypothetical protein
STM2522	histidine--tRNA ligase
STM2523	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
STM2524	helix-turn-helix domain-containing protein
STM2525	bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN
STM2526	nucleoside-diphosphate kinase
STM2527	ferredoxin
STM2528	dimethyl sulfoxide reductase
STM2529	dimethylsulfoxide reductase subunit B
STM2530	putative anaerobic dimethylsulfoxide reductase
STM2531	penicillin-binding protein 1C
STM2532	hypothetical protein
STM2533	3-mercaptopyruvate sulfurtransferase
STM2534	DUF5066 domain-containing protein
STM2535	enhances serine sensitivity
STM2536	aminopeptidase PepB
STM2537	Fe-S assembly protein IscX
STM2538	ISC system 2Fe-2S type ferredoxin
STM2539	Fe-S protein assembly chaperone HscA
STM2540	co-chaperone HscB
STM2541	iron-sulfur cluster assembly protein IscA
STM2542	Fe-S cluster assembly scaffold IscU
STM2543	IscS subfamily cysteine desulfurase
STM2544	Fe-S cluster assembly transcriptional regulator IscR
STM2545	tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ
STM2546	inositol monophosphatase
STM2547	hypothetical protein
STM2548	anaerobic sulfite reductase subunit A
STM2549	anaerobic sulfite reductase subunit B
STM2550	sulfite reductase subunit C
STM2551	nickel transporter
STM2552	hypothetical protein
STM2553	stationary phase inducible protein CsiE
STM2554	3-phenylpropionic acid transporter
STM2555	serine hydroxymethyltransferase
STM2556	nitric oxide dioxygenase
STM2557	transcriptional regulator CadC
STM2558	lysine:cadaverine antiporter
STM2559	lysine decarboxylase LdcC
STM2560	MFS transporter
STM2561	transcriptional regulator
STM2562	two-component system response regulator GlrR
STM2563	putative transcriptional regulator of two-component regulator protein (EBP familiiy)
STM2564	putative sensory kinase in regulatory system
STM2565	phosphoribosylformylglycinamidine synthase
STM2566	putative periplasmic protein
STM2567	lytic transglycosylase F
STM2568	tRNA adenosine(34) deaminase TadA
STM2569	acid phosphatase AphA
STM2570	PTS sugar transporter subunit IIC
STM2571	N-acetylmuramic acid 6-phosphate etherase
STM2572	hypothetical protein
STM2573	2-dehydropantoate 2-reductase
STM2574	MFS transporter
STM2575	transcriptional regulator
STM2576	putative ferredoxin
STM2577	holo-ACP synthase
STM2578	pyridoxine 5'-phosphate synthase
STM2579	DNA repair protein RecO
STM2580	GTPase Era
STM2581	ribonuclease III
STM2582	S26 family signal peptidase
STM2583	elongation factor 4
STM2584	type III secretion system protein
STM2585	Gifsy-1 prophage protein
STM2585A	Gifsy-1 prophage protein
STM2586	Gifsy-1 prophage protein
STM2587	Gifsy-1 prophage protein
STM2588	Gifsy-1 prophage protein
STM2589	Gifsy-1 prophage protein
STM2590	Gifsy-1 prophage protein
STM2591	Gifsy-1 prophage protein
STM2592	Gifsy-1 prophage protein
STM2593	Gifsy-1 prophage protein
STM2594	Gifsy-1 prophage protein
STM2595	Gifsy-1 prophage protein
STM2596	Gifsy-1 prophage protein
STM2597	Gifsy-1 prophage protein
STM2598	Gifsy-1 prophage protein
STM2599	Gifsy-1 prophage protein
STM2600	hypothetical protein
STM2601	Gifsy-1 prophage protein
STM2602	Gifsy-1 prophage protein
STM2603	Gifsy-1 prophage protein
STM2604	Gifsy-1 prophage protein
STM2605	Gifsy-1 prophage protein
STM2606	Gifsy-1 prophage protein
STM2607	Gifsy-1 prophage protein
STM2608	Gifsy-1 prophage protein
STM2609	Gifsy-1 prophage protein
STM2610	Gifsy-1 prophage protein
STM2611	Gifsy-1 prophage protein
STM2612	Gifsy-1 prophage protein
STM2613	Gifsy-1 prophage protein
STM2614	Gifsy-1 prophage protein
STM2616	hypothetical protein
STM2617	Gifsy-1 prophage protein
STM2618	Gifsy-1 prophage protein
STM2619	Gifsy-1 prophage protein
STM2620	Gifsy-1 prophage protein
STM2621	Gifsy-1 prophage protein
STM2622	Gifsy-1 prophage protein
STM2623	Gifsy-1 prophage protein
STM2624	Gifsy-1 prophage protein
STM2625	Gifsy-1 prophage protein
STM2626	Gifsy-1 prophage protein
STM2627	Gifsy-1 prophage protein
STM2628	Gifsy-1 prophage protein
STM2629	Gifsy-1 prophage protein
STM2630	Gifsy-1 prophage protein
STM2631	Gifsy-1 prophage protein
STM2632	Gifsy-1 prophage protein
STM2633	Gifsy-1 prophage protein
STM2634	hypothetical protein
STM2635	Gifsy-1 prophage protein
STM2636	Gifsy-1 prophage protein
STM2637	SoxR reducing system protein RseC
STM2638	sigma-E factor regulatory protein RseB
STM2639	anti-sigma factor
STM2640	RNA polymerase sigma factor RpoE
STM2641	L-aspartate oxidase
STM2642	tRNA (adenosine(37)-N6)-methyltransferase TrmM
STM2643	ATP-dependent RNA helicase SrmB
STM2644	putative LysR family transcriptional regulator
STM2645	amino acid transporter
STM2646	autonomous glycyl radical cofactor GrcA
STM2647	uracil-DNA glycosylase
STM2648	putative tRNA/rRNA methyltransferase
STM2649	thioredoxin TrxC
STM2650	DTW domain-containing protein
STM2651	protein acetyltransferase
STM2652	phosphatidylserine synthase
STM2653	hypothetical protein
STM2654	alpha-ketoglutarate transporter
STM2655	hypothetical protein
STM2660	ATP-dependent chaperone ClpB
STM2661	hypothetical protein
STM2662	23S rRNA pseudouridine(1911/1915/1917) synthase
STM2663	outer membrane protein assembly factor BamD
STM2665	ribosomal subunit interface protein
STM2666	hypothetical protein
STM2667	chorismate mutase
STM2668	gluconolactonase
STM2669	bifunctional chorismate mutase/prephenate dehydrogenase
STM2670	3-deoxy-7-phosphoheptulonate synthase
STM2671	hypothetical protein
STM2672	diguanylate cyclase
STM2673	50S ribosomal protein L19
STM2674	tRNA (guanosine(37)-N1)-methyltransferase TrmD
STM2675	ribosome maturation factor RimM
STM2676	30S ribosomal protein S16
STM2677	4.5S-RNP protein
STM2678	hypothetical protein
STM2679	magnesium/cobalt efflux protein
STM2680	hypothetical protein
STM2681	HSP-70 cofactor
STM2682	putative cytoplasmic protein
STM2683	NAD(+) kinase
STM2684	DNA repair protein RecN
STM2685	outer membrane protein assembly factor BamE
STM2686	RnfH family protein
STM2687	ubiquinone-binding protein
STM2688	SsrA-binding protein
STM2690	type I secretion protein TolC
STM2691	putative ABC transporter transmembrane region
STM2692	putative HlyD family secretion protein
STM2694	Fels-2 prophage protein
STM2695	Fels-2 prophage protein
STM2696	Fels-2 prophage protein
STM2697	Fels-2 prophage protein
STM2698	Fels-2 prophage protein
STM2699	Fels-2 prophage protein
STM2700	Fels-2 prophage protein
STM2701	Fels-2 prophage protein
STM2702	Fels-2 prophage protein
STM2703	Fels-2 prophage protein
STM2704	Fels-2 prophage protein
STM2705	Fels-2 prophage protein
STM2706	Fels-2 prophage protein
STM2707	Fels-2 prophage protein
STM2708	Fels-2 prophage protein
STM2709	Fels-2 prophage protein
STM2710	Fels-2 prophage protein
STM2711	Fels-2 prophage protein
STM2712	Fels-2 prophage protein
STM2713	Fels-2 prophage protein
STM2714	Fels-2 prophage protein
STM2715	Fels-2 prophage protein
STM2716	Fels-2 prophage protein
STM2717	Fels-2 prophage protein
STM2718	Fels-2 prophage protein
STM2719	Fels-2 prophage protein
STM2720	Fels-2 prophage protein
STM2721	Fels-2 prophage protein
STM2722	Fels-2 prophage protein
STM2723	Fels-2 prophage protein
STM2724	Fels-2 prophage protein
STM2726	Fels-2 prophage protein
STM2727	Fels-2 prophage protein
STM2728	Fels-2 prophage protein
STM2729	Fels-2 prophage protein
STM2730	Fels-2 prophage protein
STM2731	Fels-2 prophage protein
STM2732	Fels-2 prophage protein
STM2733	Fels-2 prophage protein
STM2734	Fels-2 prophage protein
STM2735	Fels-2 prophage protein
STM2736	Fels-2 prophage protein
STM2737	Fels-2 prophage protein
STM2738	Fels-2 prophage protein
STM2739	Fels-2 prophage protein
STM2740	Fels-2 prophage protein
STM2741	putative periplasmic protein
STM2742	putative cytoplasmic protein
STM2743	putative cytoplasmic protein
STM2744	AlpA family transcriptional regulator
STM2745	hypothetical protein
STM2746	putative excinuclease ATPase subunit
STM2747	putative cytoplasmic protein
STM2748	putative transcriptional regulator
STM2749	transcriptional regulator
STM2750	PTS sorbitol transporter subunit IIC
STM2751	PTS sorbitol transporter
STM2752	PTS sorbitol transporter subunit IIB
STM2753	putative dehydrogenase
STM2754	hexulose-6-phosphate synthase
STM2755	3-hexulose-6-phosphate synthase
STM2756	6-phospho 3-hexuloisomerase
STM2757	hypothetical protein
STM2758	PTS glucose transporter subunit IIABC
STM2759	peptide ABC transporter substrate-binding protein
STM2760	DNA-binding protein
STM2761	hypothetical protein
STM2762	putative inner membrane protein
STM2763	putative integrase
STM2764	putative integrase core domain protein
STM2765	putative transposase
STM2766	hypothetical protein
STM2767	DNA helicase
STM2770	phase 1 flagellin transcriptional repressor
STM2771	flagellin
STM2772	DNA-invertase
STM2773	putative glycosyl transferase
STM2774	multidrug ABC transporter ATP-binding protein
STM2775	enterochelin esterase
STM2776	hydrolase
STM2777	TonB-dependent siderophore receptor protein
STM2779	putative inner membrane protein
STM2780	effector protein PipB
STM2781	VirG localization protein VirK
STM2782	antimicrobial resistance protein Mig-14
STM2783	putative nickel transporter
STM2784	histidine kinase
STM2785	DNA-binding response regulator
STM2786	tricarboxylic transporter
STM2787	tricarboxylic transport protein
STM2788	tripartite tricarboxylate transporter TctA
STM2789	putative cytoplasmic protein
STM2790	hydroxyglutarate oxidase
STM2791	succinate-semialdehyde dehydrogenase I
STM2792	4-aminobutyrate--2-oxoglutarate transaminase
STM2793	GABA permease
STM2794	transcriptional regulator
STM2795	peptidoglycan-binding protein LysM
STM2796	proteolipid membrane potential modulator
STM2797	transcriptional regulator
STM2798	hypothetical protein
STM2799	DNA-binding protein
STM2800	L-alanine exporter AlaE
STM2801	hypothetical protein
STM2802	putative inner membrane protein
STM2803	DNA-binding transcriptional regulator
STM2804	alkylhydroperoxidase
STM2805	NrdH-redoxin
STM2806	ribonucleotide reductase assembly protein NrdI
STM2807	ribonucleotide-diphosphate reductase subunit alpha
STM2808	class 1b ribonucleoside-diphosphate reductase subunit beta
STM2809	glycine betaine/L-proline ABC transporter ATP-binding protein
STM2810	proline/betaine ABC transporter permease ProW
STM2811	glycine betaine ABC transporter substrate-binding protein
STM2812	MFS transporter
STM2813	transcriptional repressor MprA
STM2814	multidrug export protein EmrA
STM2815	MFS transporter
STM2816	porin
STM2817	S-ribosylhomocysteine lyase
STM2818	glutamate--cysteine ligase
STM2819	hypothetical protein
STM2820	fructose-1-phosphate/6-phosphogluconate phosphatase
STM2826	carbon storage regulator
STM2827	alanine--tRNA ligase
STM2828	recombination regulator RecX
STM2829	recombinase RecA
STM2830	hypothetical protein
STM2831	murein transglycosylase B
STM2832	PTS glucitol/sorbitol transporter subunit IIC
STM2833	PTS glucitol/sorbitol transporter subunit IIB
STM2834	PTS glucitol/sorbitol transporter subunit IIA
STM2835	sorbitol-6-phosphate 2-dehydrogenase
STM2836	transcriptional regulator GutM
STM2837	glucitol operon transcriptional repressor
STM2838	putative polysialic acid capsule expression protein
STM2839	nitric oxide reductase transcription regulator
STM2840	nitric oxide reductase
STM2841	FAD-dependent oxidoreductase
STM2842	carbamoyltransferase HypF
STM2843	electron transporter HydN
STM2844	hypothetical protein
STM2845	hydrogenase maturation peptidase HycI
STM2846	formate hydrogenlyase maturation protein HycH
STM2847	formate hydrogenlyase
STM2848	formate hydrogenlyase complex iron-sulfur subunit
STM2849	hydrogenase 3 large subunit
STM2850	hydrogenase 3 membrane subunit
STM2851	formate hydrogenlyase subunit 3
STM2852	formate hydrogenlyase subunit 2
STM2853	transcriptional regulator
STM2854	hydrogenase maturation nickel metallochaperone HypA
STM2855	hydrogenase accessory protein HypB
STM2856	hydrogenase assembly chaperone
STM2857	putative hydrogenase expression/formation protein
STM2858	putative hydrogenase expression/formation protein
STM2859	transcriptional regulator FhlA
STM2860	hypothetical protein
STM2861	iron ABC transporter substrate-binding protein
STM2862	manganese/iron transporter ATP-binding protein
STM2863	iron ABC transporter permease
STM2864	iron ABC transporter permease
STM2865	putative inner membrane protein
STM2866	transcriptional regulator
STM2867	AraC family transcriptional regulator
STM2868	type III secretion system effector protein OrgC
STM2869	invasion protein OrgB
STM2870	putative inner membrane protein
STM2871	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein
STM2872	type III secretion system protein PrgJ
STM2873	EscF/YscF/HrpA family type III secretion system needle major subunit
STM2874	type III secretion system protein PrgH
STM2875	AraC family transcriptional regulator
STM2876	transcriptional regulator
STM2877	invasion protein IagB
STM2878	pathogenicity island 1 effector protein StpP
STM2879	chaperone protein SicP
STM2880	putative cytoplasmic protein
STM2881	putative acyl carrier protein
STM2882	pathogenicity island 1 effector protein SipA
STM2883	cell invasion protein SipD
STM2884	pathogenicity island 1 effector protein SipC
STM2885	pathogenicity island 1 effector protein SipB
STM2886	CesD/SycD/LcrH family type III secretion system chaperone
STM2887	EscU/YscU/HrcU family type III secretion system export apparatus switch protein
STM2888	EscT/YscT/HrcT family type III secretion system export apparatus protein
STM2889	EscS/YscS/HrcS family type III secretion system export apparatus protein
STM2890	EscR/YscR/HrcR family type III secretion system export apparatus protein
STM2891	type III secretion system protein SpaO
STM2892	antigen presentation protein SpaN
STM2893	type III secretion system protein SpaM
STM2894	EscN/YscN/HrcN family type III secretion system ATPase
STM2895	type III secretion system chaperone SpaK
STM2896	EscV/YscV/HrcV family type III secretion system export apparatus protein
STM2897	SepL/TyeA/HrpJ family type III secretion system gatekeeper
STM2898	EscC/YscC/HrcC family type III secretion system outer membrane ring protein
STM2899	invasion protein
STM2900	invasion lipoprotein InvH
STM2901	hypothetical protein
STM2902	putative cytoplasmic protein
STM2903	hypothetical protein
STM2904	putative ABC-type transport system
STM2905	GNAT family N-acetyltransferase
STM2906	putative cytoplasmic protein
STM2907	serine/threonine protein phosphatase
STM2908	hypothetical protein
STM2909	DNA mismatch repair protein MutS
STM2910	DUF4440 domain-containing protein
STM2911	MFS transporter
STM2912	putative LysR family transcriptional regulator
STM2913	gluconate permease
STM2914	putative nucleoside-diphosphate-sugar epimerase
STM2915	hypothetical protein
STM2916	aldolase
STM2917	hypothetical protein
STM2918	3-hydroxyisobutyrate dehydrogenase
STM2919	DeoR family transcriptional regulator
STM2920	putative transcriptional regulator
STM2921	phenolic acid decarboxylase
STM2922	phenolic acid decarboxylase
STM2923	hypothetical protein
STM2924	RNA polymerase sigma factor RpoS
STM2925	lipoprotein NlpD
STM2926	protein-L-isoaspartate O-methyltransferase
STM2927	5'/3'-nucleotidase SurE
STM2928	tRNA pseudouridine(13) synthase TruD
STM2929	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
STM2930	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
STM2931	cell division protein FtsB
STM2932	putative inner membrane protein
STM2933	adenylyl-sulfate kinase
STM2934	sulfate adenylyltransferase subunit CysN
STM2935	sulfate adenylyltransferase small subunit
STM2936	aminopeptidase
STM2937	putative inner membrane protein
STM2938	subtype I-E CRISPR-associated endonuclease Cas1
STM2939	type I-E CRISPR-associated protein Cas6/Cse3/CasE
STM2940	type I-E CRISPR-associated protein Cas5/CasD
STM2941	type I-E CRISPR-associated protein Cas7/Cse4/CasC
STM2942	type I-E CRISPR-associated protein Cse2/CasB
STM2943	type I-E CRISPR-associated protein Cse1/CasA
STM2944	CRISPR-associated helicase/endonuclease Cas3
STM2945	secreted protein in the Sop family; transferred to eukaryotic cells
STM2946	phosphoadenosine phosphosulfate reductase
STM2947	sulfite reductase subunit beta
STM2948	sulfite reductase [NADPH
STM2949	6-carboxytetrahydropterin synthase QueD
STM2950	MBL fold metallo-hydrolase
STM2951	7-carboxy-7-deazaguanine synthase QueE
STM2952	phosphopyruvate hydratase
STM2953	CTP synthase
STM2954	nucleoside triphosphate pyrophosphohydrolase
STM2955	putative transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain and a metal-binding domain
STM2956	GTP diphosphokinase
STM2957	23S rRNA (uracil(1939)-C(5))-methyltransferase
STM2958	two-component sensor histidine kinase BarA
STM2959	glycerate kinase
STM2960	glucarate dehydratase
STM2961	putative d-glucarate dehydratase
STM2962	MFS transporter
STM2963	flavodoxin
STM2964	tRNA pseudouridine(65) synthase TruC
STM2965	hypothetical protein
STM2967	SecY-interacting protein
STM2968	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF
STM2969	LOG family protein
STM2970	HAAAP family serine/threonine permease
STM2971	L-serine ammonia-lyase
STM2972	exonuclease IX, 5'-3' exonuclease
STM2973	lactaldehyde reductase
STM2974	L-fuculose phosphate aldolase
STM2976	L-fucose isomerase
STM2977	L-fuculokinase
STM2978	L-fucose mutarotase
STM2979	transcriptional regulator
STM2980	23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM
STM2981	hypothetical protein
STM2982	transcriptional regulator GcvA
STM2983	hypothetical protein
STM2984	cysteine sulfinate desulfinase
STM2985	cysteine desulfurase sulfur acceptor subunit CsdE
STM2986	putative integral membrane protein
STM2987	tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA
STM2988	murein transglycosylase A
STM2991	N-acetylmuramoyl-L-alanine amidase
STM2992	amino-acid N-acetyltransferase
STM2993	exodeoxyribonuclease V subunit alpha
STM2994	exodeoxyribonuclease V subunit beta
STM2995	pitrilysin
STM2996	exodeoxyribonuclease V subunit gamma
STM2997	prepilin peptidase dependent protein C
STM2998	hypothetical protein
STM2999	prepilin peptidase dependent protein B
STM3000	prepilin peptidase dependent protein A
STM3001	thymidylate synthase
STM3002	prolipoprotein diacylglyceryl transferase
STM3003	phosphoenolpyruvate--protein phosphotransferase PtsP
STM3004	RNA pyrophosphohydrolase
STM3005	DNA mismatch repair endonuclease MutH
STM3006	hypothetical protein
STM3007	hypothetical protein
STM3008	NADP(H)-dependent aldo-keto reductase
STM3009	lysophospholipid transporter LplT
STM3010	bifunctional 2-acylglycerophosphoethanolamine acyltransferase/acyl-ACP synthetase
STM3011	transcriptional regulator GalR
STM3012	putative transcriptional regulator
STM3013	diaminopimelate decarboxylase
STM3014	LysR family transcriptional regulator
STM3015	aspartate/glutamate racemase
STM3016	arabinose:proton symporter
STM3017	2-deoxy-D-gluconate 3-dehydrogenase
STM3018	pectin-degrading enzyme
STM3019	putative acetyl-CoA acetyltransferase
STM3020	putative LysR family transcriptional regulator
STM3021	putative inner membrane protein
STM3022	transporter
STM3023	transcriptional regulator
STM3024	nickel/cobalt efflux protein RcnA
STM3025	hypothetical protein
STM3026	hypothetical protein
STM3027	fimbrial chaperone protein StdC
STM3028	fimbrial protein
STM3029	putative fimbrial-like protein
STM3030	hypothetical protein
STM3031	hypothetical protein
STM3032	IS200 family transposase
STM3033	VapC toxin family PIN domain ribonuclease
STM3034	antitoxin
STM3035	hypothetical protein
STM3036	putative inner membrane protein
STM3038	putative metalloendopeptidase
STM3039	isopentenyl-diphosphate delta-isomerase
STM3040	lysine--tRNA ligase
STM3041	peptide chain release factor RF-2
STM3042	single-stranded-DNA-specific exonuclease RecJ
STM3043	bifunctional protein-disulfide isomerase/oxidoreductase DsbC
STM3044	site-specific tyrosine recombinase XerD
STM3045	flavodoxin FldB
STM3046	hypothetical protein
STM3047	hypothetical protein
STM3048	tRNA-modifying protein YgfZ
STM3049	hemolysin III family protein
STM3050	ASCH domain-containing protein
STM3051	6-phospho-beta-glucosidase
STM3052	hypothetical protein
STM3053	glycine cleavage system protein P
STM3054	glycine cleavage system protein H
STM3055	glycine cleavage system protein T
STM3056	FAD-dependent 2-octaprenylphenol hydroxylase
STM3057	2-octaprenyl-6-methoxyphenyl hydroxylase
STM3058	Xaa-Pro aminopeptidase
STM3059	hypothetical protein
STM3060	Z-ring-associated protein
STM3061	putative ligase
STM3062	D-3-phosphoglycerate dehydrogenase
STM3063	ribose 5-phosphate isomerase A
STM3064	transcriptional regulator ArgP
STM3065	oxidative stress defense protein
STM3066	arginine transporter
STM3067	mechanosensitive ion channel protein MscS
STM3068	class II fructose-bisphosphate aldolase
STM3069	phosphoglycerate kinase
STM3070	erythrose-4-phosphate dehydrogenase
STM3071	putative DNA-binding protein
STM3072	ECF transporter S component
STM3073	cobalt ABC transporter permease
STM3074	cobalt ABC transporter ATP-binding protein
STM3075	ABC transporter ATP-binding protein
STM3076	transketolase
STM3077	metalloprotease
STM3078	agmatinase
STM3079	putative hydrolase or acyltransferase
STM3080	putative mannitol dehydrogenase
STM3081	ureidoglycolate dehydrogenase
STM3082	galactonate oxidoreductase
STM3083	fructuronate reductase
STM3084	putative gntR family regulatory protein
STM3085	hypothetical protein
STM3086	arginine decarboxylase
STM3087	virulence-promoting factor
STM3088	putative cytoplasmic protein
STM3089	hypothetical protein
STM3090	methionine adenosyltransferase
STM3091	MFS transporter
STM3092	SprT family protein
STM3093	deoxyribonuclease I
STM3094	putative cytoplasmic protein
STM3095	glutathione synthase
